"dummy_id","id","user","phone_type","phone_number"
"1","16","alan","work","+1 (323) 555-5555"
"2","12","berta","mobile","+1 (747) 555-5555"
"3","22","bridget","work","+1 (323) 555-5555"
"4","14","charlie","work","+1 (323) 555-5555"
"5","11","chelsea","work","+1 (747) 555-5555"
"6","23","eldridge","work","+1 (747) 555-5555"
"7","20","evelyn","work","+1 (747) 123-4567"
"8","7","herb","mobile","+1 (747) 123-4567"
"9","15","jake","work","+1 (747) 555-5555"
"10","9","judith","work","+1 (747) 555-5555"
"11","10","kandi","home","+1 (323) 123-4567"
"12","8","lyndsey","home","+1 (323) 555-5555"
"13","21","rose","work","+1 (747) 555-5555"
"14","13","walden","work","+1 (747) 123-4567"
"15","24","zoey","work","+1 (747) 555-5555"
