"name","mail","role"
"druplicon","druplicon@drop-jobs.dev","organization,recruiter"
"herb","herb@drop-jobs.dev","candidate"
"lyndsey","lyndsey@drop-jobs.dev","candidate"
"judith","judith@drop-jobs.dev","candidate"
"kandi","kandi@drop-jobs.dev","candidate"
"chelsea","chelsea@drop-jobs.dev","candidate"
"berta","berta@drop-jobs.dev","candidate"
"walden","walden@drop-jobs.dev","candidate"
"charlie","charlie@drop-jobs.dev","candidate"
"jake","jake@drop-jobs.dev","candidate"
"alan","alan@drop-jobs.dev","candidate"
"elmerfudd","elmerfudd@drop-jobs.dev","recruiter"
"bugsbunny","bugsbunny@drop-jobs.dev","recruiter"
"evelyn","evelyn@drop-jobs.dev","candidate"
"rose","rose@drop-jobs.dev","candidate"
"bridget","bridget@drop-jobs.dev","candidate"
"eldridge","eldridge@drop-jobs.dev","candidate"
"zoey","zoey@drop-jobs.dev","candidate"
"content admin","content@drop-jobs.dev","content admin"
"job admin","jobs@drop-jobs.dev","job admin"
"candidate admin","resumes@drop-jobs.dev","candidate admin"
"organization admin","organizations@drop-jobs.dev","organization admin"
"recruiter admin","recruiters@drop-jobs.dev","recruiter admin"
"mr foo","foo@drop-jobs.dev","organization"
"acme","acme@drop-jobs.dev","organization"
